Texture Class,N,θr,Std θr,θs,Std θs,log(α),Std log(α),log(n),Std log(n),log(Ks),Std log(Ks),log(Ko),Std log(Ko),L,Std L,,α,n,Ks,Ko,,α (1/m),Ks(m/day),Ko(m/day)
Clay,84,0.098,0.107,0.459,0.079,-1.825,0.68,0.098,0.07,1.169,0.92,0.472,0.26,-1.561,1.39,,0.161217644129777,1.25314117494142,3.21877225634943,1.60319738372657,,16.1217644129777,0.032187722563494,0.016031973837266
Clay Loam,140,0.079,0.076,0.442,0.079,-1.801,0.69,0.151,0.12,0.913,1.09,0.699,0.23,-0.763,0.9,,0.165133671955266,1.41579377995708,2.49178669162421,2.01173996130382,,16.5133671955266,0.024917866916242,0.020117399613038
Loam,242,0.061,0.073,0.399,0.098,-1.954,0.73,0.168,0.13,1.081,0.92,0.568,0.21,-0.371,0.84,,0.141706111976666,1.47231250243272,2.94762570344727,1.76473405150846,,14.1706111976666,0.029476257034473,0.017647340515085
Loamy Sand,201,0.049,0.042,0.39,0.07,-1.459,0.47,0.242,0.16,2.022,0.64,1.386,0.24,-0.874,0.59,,0.232468627161342,1.7458221529205,7.55341667023524,3.99882272880037,,23.2468627161342,0.075534166702352,0.039988227288004
Sand,308,0.053,0.029,0.375,0.055,-1.453,0.25,0.502,0.18,2.808,0.59,1.389,0.24,-0.93,0.49,,0.233867631741038,3.17687407064977,16.5767315800501,4.01083720969726,,23.3867631741038,0.165767315800501,0.040108372096973
Sandy Clay,11,0.117,0.114,0.385,0.046,-1.476,0.57,0.082,0.06,1.055,0.89,0.637,0.34,-3.665,1.8,,0.22855006266942,1.20781383510678,2.87197515390135,1.89079996230323,,22.855006266942,0.028719751539014,0.018907999623032
Sandy Clay Loam,87,0.063,0.078,0.384,0.061,-1.676,0.71,0.124,0.12,1.12,0.85,0.841,0.24,-1.28,0.99,,0.187120964925355,1.33045441797809,3.064854203293,2.31868450232752,,18.7120964925355,0.03064854203293,0.023186845023275
Sandy Loam,476,0.039,0.054,0.387,0.085,-1.574,0.56,0.161,0.11,1.583,0.66,1.19,0.21,-0.861,0.73,,0.20721466377212,1.44877185354476,4.86954254783599,3.28708120738312,,20.721466377212,0.04869542547836,0.032870812073831
Silt,6,0.05,0.041,0.489,0.078,-2.182,0.3,0.225,0.13,1.641,0.27,0.524,0.32,0.624,1.57,,0.112815673511584,1.67880401812256,5.16032726019108,1.68876923447846,,11.2815673511584,0.051603272601911,0.016887692344785
Silty Clay,28,0.111,0.119,0.481,0.08,-1.79,0.64,0.121,0.1,0.983,0.57,0.501,0.27,-1.287,1.23,,0.166960169667041,1.32129563418658,2.67246161270734,1.65037081660632,,16.6960169667041,0.026724616127073,0.016503708166063
Silty Clay Loam,172,0.09,0.082,0.482,0.086,-2.076,0.59,0.182,0.13,1.046,0.76,0.349,0.26,-0.156,1.23,,0.125430933822997,1.5205475297325,2.8462433443487,1.41764919034199,,12.5430933822997,0.028462433443487,0.01417649190342
Silty Loam,330,0.065,0.073,0.439,0.093,-2.296,0.57,0.221,0.14,1.261,0.74,0.243,0.26,0.365,1.42,,0.100660682238943,1.66341265037017,3.52894867215121,1.27506862411846,,10.0660682238943,0.035289486721512,0.012750686241185
